DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-05 07:00:00; 5,63350; 217,71480;  11,91643;   2,06780;   4,50099;   1,56409;   0,00000;  17,79617;  16,98743;  98,10147;  12,37260
2021-01-04 23:00:00; 5,88327; 264,52063;  11,93815;   1,42917;   5,45734;   0,89734;   0,00000;  17,83485;   0,00000;  99,99799;  12,42288
2021-01-05 00:00:00; 5,89885; 276,25160;  11,93723;   1,46428;   5,47066;   0,93319;   0,00000;  17,82864;   0,00000;  99,99799;  12,42704
2021-01-05 01:00:00; 5,90084; 237,22195;  11,92819;   1,83069;   5,38289;   1,16856;   0,00000;  17,82051;   0,00000;  99,99799;  12,42883
2021-01-05 02:00:00; 5,89250; 227,32811;  11,89438;   2,17070;   5,00929;   1,64870;   0,03623;  17,81740;   0,00000;  99,99799;  12,39536
2021-01-05 03:00:00; 5,85567; 225,15373;  11,90175;   1,84458;   4,75232;   1,28750;   0,00000;  17,81724;   0,00000;  99,99799;  12,38515
2021-01-05 04:00:00; 5,79682; 231,82178;  11,90804;   1,21357;   4,26001;   0,75462;   0,00000;  17,81433;   0,00000;  99,99799;  12,37703
2021-01-05 05:00:00; 5,71700; 232,36930;  11,91424;   2,39120;   4,40004;   1,55099;   0,00000;  17,80605;   0,00000;  99,55273;  12,37392
2021-01-05 21:00:00; 5,33976;  65,84628;  11,75353;   2,35744;   3,15181;   1,89098;   0,00000;  17,75197;   0,00000;  99,99799;  12,28143
2021-01-04 19:00:00; 5,84832; 312,70782;  11,96439;   1,32899;   5,81234;   0,97726;   0,00000;  17,84670;   0,00000;  99,99799;  12,46955
2021-01-04 20:00:00; 5,86975; 290,65490;  11,95907;   1,28326;   5,62962;   0,87362;   0,00000;  17,84890;   0,00000;  99,99799;  12,46680
2021-01-04 21:00:00; 5,88180; 319,11914;  11,93800;   1,82743;   5,48058;   1,47349;   0,03623;  17,84625;   0,00000;  99,99799;  12,44014
