DATE; Besugárzás; Levegő-hőmérséklet; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Csapadék; Szélirány; Széllökés; Talajhőmérséklet 0 cm; Szélsebesség; Levélnedvesség
2021-03-26 05:20:00; 77,62171;   0,60236;  78,62637;  49,73490;  30,91970;  27,19074;   0,00000; 138,90941;   0,59943;   3,96540;   0,38072;-9999,00000
2021-03-26 05:40:00; 85,03942;   1,82802;  76,35163;  49,72623;  30,94347;  27,19042;   0,00000;  57,83215;   0,43937;   3,94041;   0,12695;-9999,00000
2021-03-26 05:50:00; 146,65320;   2,69993;  73,61200;  49,72877;  30,95396;  27,19068;   0,00000; 141,05070;   0,52430;   3,93049;   0,36554;-9999,00000
2021-03-26 06:00:00; 174,54166;   4,08808;  70,05440;  49,72514;  30,97562;  27,18784;   0,00000; 121,42883;   0,42303;   3,91812;   0,19486;-9999,00000
2021-03-26 06:10:00; 198,07187;   4,83132;  66,41780;  49,72060;  31,01411;  27,18890;   0,00000; 128,55440;   0,86893;   3,91619;   0,51450;-9999,00000
2021-03-26 06:30:00; 253,90848;   5,89884;  64,26490;  49,72241;  31,05375;  27,19032;   0,00000; 141,34412;   0,92773;   3,92362;   0,66983;-9999,00000
2021-03-26 06:20:00; 225,13164;   5,53599;  64,81200;  49,72333;  31,02010;  27,19032;   0,00000; 123,61235;   0,82320;   3,91559;   0,62573;-9999,00000
2021-03-26 06:40:00; 279,22775;   6,50995;  62,00590;  49,72334;  31,05975;  27,18464;   0,00000; 156,19156;   0,92937;   3,92440;   0,63014;-9999,00000
2021-03-26 07:00:00; 338,15310;   7,73305;  59,95660;  49,72197;  31,10651;  27,17576;   0,00000; 143,92653;   1,09107;   3,94987;   0,75378;-9999,00000
2021-03-26 06:50:00; 309,46503;   7,27787;  59,69230;  49,72424;  31,08183;  27,17859;   0,00000; 140,18275;   0,84280;   3,93660;   0,65007;-9999,00000
2021-03-26 07:20:00; 387,92140;   8,80806;  57,73000;  49,72281;  31,13010;  27,16810;   0,00000; 172,30963;   1,40467;   3,98876;   0,87565;-9999,00000
2021-03-26 07:10:00; 363,51074;   8,32647;  59,36490;  49,72105;  31,09829;  27,17968;   0,00000; 162,37895;   1,25113;   3,96629;   0,88870;-9999,00000
2021-03-26 07:40:00; 440,00513;   9,58152;  57,07522;  49,72434;  31,12594;  27,15234;   0,00000; 183,64764;   1,58107;   4,04830;   0,88327;-9999,00000
2021-03-26 07:30:00; 413,90988;   9,36311;  56,23409;  49,72249;  31,11308;  27,15458;   0,00000; 184,54605;   1,49123;   4,01719;   1,00628;-9999,00000
2021-03-26 12:40:00; 589,86066;  15,47880;  42,27310;  49,62294;  31,22000;  27,13138;   0,00000; 263,28450;   2,39283;   6,50922;   1,32463;-9999,00000
2021-03-26 12:30:00; 588,73785;  15,32426;  43,69860;  49,62340;  31,21963;  27,13494;   0,00000; 151,56897;   1,64967;   6,42853;   0,69809;-9999,00000
2021-03-26 22:30:00; 0,00000;   4,54987;  75,00356;  49,67688;  31,08226;  27,11486;   0,00000; 146,21077;   0,67783;   5,90401;   0,56749;-9999,00000
2021-03-26 22:50:00; 0,00000;   4,55569;  74,66734;  49,67790;  31,08436;  27,11249;   0,00000; 156,83563;   0,88527;   5,82805;   0,75678;-9999,00000
2021-03-26 22:40:00; 0,00000;   4,44039;  75,28683;  49,67790;  31,08212;  27,11069;   0,00000; 152,87582;   0,76113;   5,86724;   0,60077;-9999,00000
2021-03-24 23:00:00; 0,00000;  -0,29483;  94,91280;  49,89573;  31,21398;  27,19140;   0,00000; 265,72750;   0,43447;   5,03225;   0,22148;-9999,00000
2021-03-24 23:10:00; 0,00000;  -0,46382;  95,39849;  49,89756;  31,21734;  27,19140;   0,00000; 319,59030;   0,27113;   4,99239;   0,06778;-9999,00000
2021-03-24 23:30:00; 0,00000;  -0,48043;  96,65990;  49,89937;  31,21622;  27,19140;   0,00000; 274,27942;   0,39363;   4,91634;   0,20841;-9999,00000
2021-03-24 23:20:00; 0,00000;  -0,51181;  96,12900;  49,89935;  31,21811;  27,19140;   0,00000; 284,88922;   0,32177;   4,95535;   0,14700;-9999,00000
2021-03-24 23:40:00; 0,00000;  -0,60291;  96,81029;  49,90028;  31,20311;  27,19140;   0,00000; 347,58914;   0,06207;   4,88026;   0,01143;-9999,00000
2021-03-24 23:50:00; 0,00000;  -0,72664;  97,24210;  49,90028;  31,19225;  27,19140;   0,00000; 284,08377;   0,37077;   4,84437;   0,18489;-9999,00000
2021-03-25 21:40:00; 0,00000;   0,97949;  84,16733;  49,75920;  31,05900;  27,14880;   0,00000;  26,98784;   0,24500;   5,05410;   0,07441;-9999,00000
2021-03-25 22:10:00; 0,00000;   0,51674;  87,65846;  49,75845;  31,04030;  27,14880;   0,00000;   4,76964;   0,07187;   4,94874;   0,00950;-9999,00000
2021-03-25 22:20:00; 0,00000;   0,20569;  85,38766;  49,76474;  31,04030;  27,14880;   0,00000;  26,18377;   0,38547;   4,91424;   0,15589;-9999,00000
2021-03-25 22:30:00; 0,00000;   0,15903;  86,17873;  49,76134;  31,03656;  27,14880;   0,00000; 136,38490;   0,37240;   4,87894;   0,16051;-9999,00000
2021-03-25 22:50:00; 0,00000;  -0,09431;  87,27880;  49,76380;  31,01412;  27,14880;   0,00000;  46,58472;   0,49980;   4,81022;   0,12805;-9999,00000
2021-03-25 22:40:00; 0,00000;   0,20426;  87,86830;  49,76785;  31,02981;  27,14880;   0,00000;   8,39288;   0,31850;   4,84227;   0,05831;-9999,00000
2021-03-25 21:20:00; 0,00000;   1,28213;  84,70600;  49,76152;  31,08218;  27,14880;   0,00000;  32,25719;   0,44263;   5,12594;   0,12626;-9999,00000
2021-03-25 21:10:00; 0,00000;   1,35986;  83,20740;  49,76060;  31,08106;  27,14880;   0,00000;   0,00000;   0,00000;   5,16401;   0,00000;-9999,00000
2021-03-25 21:00:00; 0,00000;   1,56538;  83,37060;  49,76243;  31,07994;  27,14880;   0,00000;   5,14292;   0,23193;   5,20214;   0,04198;-9999,00000
2021-03-25 21:30:00; 0,00000;   1,30667;  84,97850;  49,75789;  31,07173;  27,14880;   0,00000;   0,84973;   0,42140;   5,09018;   0,08820;-9999,00000
2021-03-25 21:50:00; 0,00000;   0,80814;  86,87483;  49,76299;  31,05186;  27,14880;   0,00000;  19,23183;   0,22377;   5,01938;   0,05821;-9999,00000
2021-03-25 22:00:00; 0,00000;   0,57918;  87,69233;  49,75617;  31,04196;  27,14880;   0,00000;  33,50700;   0,23030;   4,98277;   0,03739;-9999,00000
2021-03-25 19:50:00; 0,00000;   2,77162;  73,54630;  49,75697;  31,10726;  27,14880;   0,00000;   0,00000;   0,00000;   5,47962;   0,00000;-9999,00000
2021-03-25 20:10:00; 0,00000;   2,35953;  79,42620;  49,75789;  31,10613;  27,14880;   0,00000;   0,00000;   0,00000;   5,39868;   0,00000;-9999,00000
2021-03-25 20:20:00; 0,00000;   2,32909;  75,83170;  49,75652;  31,10762;  27,14880;   0,00000; 186,21156;   0,24173;   5,35780;   0,11254;-9999,00000
2021-03-25 20:30:00; 0,00000;   2,33397;  74,67920;  49,75742;  31,10725;  27,14880;   0,00000; 359,52790;   0,15027;   5,31806;   0,01633;-9999,00000
2021-03-25 20:40:00; 0,00000;   2,20922;  76,42756;  49,75920;  31,08933;  27,14880;   0,00000;   0,00000;   0,00000;   5,27991;   0,00000;-9999,00000
