DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-02-24 00:00:00; 1028,32760;-9999,00000;   9,23940;  34,27584;   7,00919;   0,06738;  30,83663;  32,65396;1748,60410;-9999,00000;   0,00076;-9999,00000; 114,14336;   5,01742;   4,24522;   0,00000;  85,73915;   4,64311;   7,37001
2021-02-23 00:00:00; 1024,85720;-9999,00000;   9,34374;  34,34906;   5,99431;   0,12143;  31,11155;  32,71949;1800,61890;-9999,00000;   0,00000;  12,90471; 120,94405;   5,03496;   4,24600;   0,00000;  89,84378;   3,82847;  18,13051
2021-02-22 00:00:00; 1021,18164;-9999,00000;   9,40378;  34,39396;   5,05336;   1,83274;  31,92150;  32,74482;1821,81590;-9999,00000;   0,00076;  13,19353; 124,02098;   5,03496;   4,24606;   0,07473;  86,24966;   3,31908; 204,65964
2021-02-21 00:00:00; 1021,82513;-9999,00000;   9,25385;  34,38044;   4,30248;   4,46809;  32,34444;  32,88322;1761,11110;-9999,00000;   0,00000;  13,14547; 117,25524;   5,01742;   4,24377;   0,50000;  91,26267;   3,37978; 189,95575
2021-02-20 00:00:00; 1018,98170;-9999,00000;   7,22682;  34,29485;   3,22376;   0,63571;  33,82391;  32,99429;1620,12160;-9999,00000;   0,01066;  12,94487;  26,25874;   5,03496;   4,24157;   0,03929;  96,80953;   2,98049;  90,68476
2021-03-10 00:00:00; 1011,18274;-9999,00000;  10,05585;  34,27797;   1,35480;   1,05714;  30,39157;  32,57088;1847,42020;-9999,00000;   0,00000;-9999,00000; 127,68421;   5,03496;   4,24597;   0,06071;  56,83295;   2,93381;  57,28702
2021-03-09 00:00:00; 1012,22500;-9999,00000;  10,56530;  34,27500;   1,44840;   4,25000;  30,44585;  32,60897;1877,82290;-9999,00000;   0,00000;-9999,00000; 142,05263;   5,03496;   4,24659;   1,05357;  56,97968;   3,07411;  83,72375
2021-03-08 00:00:00; 1009,31940;-9999,00000;  10,16345;  34,29780;   3,34645;   4,90714;  30,47158;  32,60897;1871,31590;-9999,00000;   0,00000;-9999,00000; 152,69230;   5,03496;   4,24621;   0,97500;  56,17596;   3,06667; 352,54572
2021-03-07 00:00:00; 1017,12540;-9999,00000;  10,31968;  34,29017;   1,46157;   2,24643;  30,51044;  32,65838;1879,72220;-9999,00000;   0,00000;-9999,00000; 154,78947;   5,05263;   4,24677;   0,11429;  57,17630;   2,95922; 350,89100
2021-04-23 00:00:00; 1013,60490;-9999,00000;  12,12835;  34,39396;  10,11950;   3,38078;  31,60740;  33,23944;2389,26050;-9999,00000;   0,00000;  13,24502; 236,62587;   5,02448;   4,24592;   0,13523;  58,32658;  10,58339;   6,06542
