DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Talajnedvesség 30 cm; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 90 cm; Széllökés; Levélnedvesség; Fagy; Fényegység; Besugárzás; Külső akkufeszültség; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Szélirány; Légnyomás
2021-01-20 17:00:00; 0,00000;   0,80000;  29,75299;   4,08333;-9999,00000;  32,30609;   0,00000;  34,75100;  10,00000;   5,00000;-9999,00000; 941,33330;   0,00000;  12,92092;   4,24608;  89,22167;   4,45000; 291,56360;1010,22504
2021-01-20 14:00:00; 16,81700;   0,54167;  29,63400;   0,00000;-9999,00000;  32,25199;   0,00000;  34,75100;   0,25000;   5,00000;-9999,00000;3895,00000;  66,66666;  13,24383;   4,24650;  75,82333;   7,91667; 283,14587;1009,43340
2021-01-20 15:00:00; 10,07142;   0,78333;  29,64391;   0,00000;-9999,00000;  32,26191;   0,00000;  34,75100;   0,75000;   5,00000;-9999,00000;2494,66670;  10,00000;  12,99817;   4,24542;  81,59000;   6,24167; 276,82565;1009,73340
2021-01-20 05:00:00; 0,47525;  -0,04167;  29,87200;   4,27273;-9999,00000;  32,58917;   0,00000;  34,74108;   8,63636;   5,00000;-9999,00000;  17,08333;   0,00000;  12,69333;   4,24000;  84,45001;   2,02500; 331,60940;1009,49150
2021-01-20 06:00:00; 13,03383;   0,00000;  29,87200;   3,33333;-9999,00000;  32,57925;   0,00000;  34,75100;   7,50000;   5,00000;-9999,00000;2128,58330;  10,00000;  12,69067;   4,23858;  85,47363;   2,27273; 312,73280;1009,96360
2021-01-20 12:00:00; 21,60992;   0,10000;  29,63400;   3,54545;-9999,00000;  32,28445;   0,00000;  34,75100;  14,36364;   5,00000;-9999,00000;3895,00000; 250,83333;  13,56917;   4,24650;  62,86417;  11,04167; 335,23935;1009,11670
2021-01-20 13:00:00; 17,46575;   0,28333;  29,63400;   0,16667;-9999,00000;  32,25199;   0,00000;  34,75100;   2,41667;   5,00000;-9999,00000;3895,00000;  74,58334;  13,33600;   4,24642;  71,35833;   8,93333; 313,11655;1009,31670
2021-01-20 07:00:00; 16,82583;   0,00000;  29,87200;   4,33333;-9999,00000;  32,50081;   0,00000;  34,75100;   8,41667;   5,00000;-9999,00000;3895,00000;  52,91667;  12,93875;   4,23883;  86,19250;   2,45833; 314,95940;1010,11670
2021-01-20 08:00:00; 19,88033;   0,00000;  29,79266;   3,63636;-9999,00000;  32,48999;   0,00000;  34,73117;   9,00000;   5,00000;-9999,00000;3895,00000; 161,25000;  13,63875;   4,24433;  81,68000;   4,50000; 302,86020;1010,59990
2021-01-20 09:00:00; 20,88583;   0,00000;  29,75299;   0,16667;-9999,00000;  32,48999;   0,00000;  34,71133;   4,41667;   5,00000;-9999,00000;3895,00000; 175,83333;  13,61000;   4,24567;  79,55500;   5,33333; 289,54587;1010,91670
2021-01-20 10:00:00; 21,72267;   0,00000;  29,75299;   2,41667;-9999,00000;  32,45033;   0,00000;  34,74108;   6,25000;   5,00000;-9999,00000;3895,00000; 280,00000;  13,67650;   4,24650;  75,31167;   7,49167; 305,39590;1010,23334
2021-01-20 03:00:00; 0,00000;  -0,10000;  29,99100;   5,00000;-9999,00000;  32,60900;   0,00000;  34,75100;   9,33333;   5,00000;-9999,00000;1554,16660;   0,00000;  12,69917;   4,24050;  85,89000;   1,29091; 322,68040;1008,99084
2021-01-20 02:00:00; 0,00000;  -0,10000;  29,99100;   7,63636;-9999,00000;  32,60900;   0,00000;  34,73116;  12,63636;   5,00000;-9999,00000;   0,00000;   0,00000;  12,70808;   4,24075;  85,91333;   1,17500; 302,39874;1008,91656
2021-01-20 04:00:00; 0,00000;  -0,10000;  29,89183;   5,50000;-9999,00000;  32,59908;   0,00000;  34,74108;  10,50000;   5,45455;-9999,00000; 657,08330;   0,00000;  12,69575;   4,23950;  83,35084;   1,96667; 332,39282;1009,22504
2021-01-19 23:00:00; 0,00000;  -0,10000;  29,99100;   6,27273;-9999,00000;  32,60900;   0,00000;  34,75100;  11,63636;   5,00000;-9999,00000;   0,16667;   0,00000;  12,76667;   4,24183;  85,04818;   1,19091; 305,49610;1009,31810
2021-01-20 00:00:00; 0,00000;  -0,10000;  29,99100;   7,66667;-9999,00000;  32,60900;   0,00000;  34,74108;  13,50000;   5,00000;-9999,00000;   0,00000;   0,00000;  12,74683;   4,23992;  84,16334;   1,38333; 300,50890;1008,74170
2021-01-20 11:00:00; 21,14525;   0,07500;  29,63400;   4,75000;-9999,00000;  32,37100;   0,00000;  34,75100;  14,41667;   5,00000;-9999,00000;3895,00000; 233,75000;  13,63475;   4,24750;  64,60273;  10,44545; 349,45062;1009,50916
2021-01-20 01:00:00; 0,00000;  -0,10000;  29,99100;   7,00000;-9999,00000;  32,60900;   0,00000;  34,75100;  12,50000;   5,00000;-9999,00000; 327,16666;   0,00000;  12,72483;   4,24100;  84,67834;   1,35833; 300,14980;1008,77496
2021-01-19 20:00:00; 0,00000;  -0,20000;  29,99100;   8,83333;-9999,00000;  32,60900;   0,00000;  34,75100;  13,91667;   5,00000;-9999,00000; 324,58334;   0,00000;  12,83175;   4,24258;  89,11455;   0,75455; 300,73352;1010,58185
2021-01-19 21:00:00; 0,00000;  -0,20000;  29,99100;   7,41667;-9999,00000;  32,60900;   0,00000;  34,75100;  12,50000;   5,00000;-9999,00000; 649,16670;   0,00000;  12,81408;   4,24258;  85,81583;   1,10000; 301,43118;1010,30830
