DATE; Talajhőmérséklet 0 cm; Külső akkufeszültség; Fényegység; Széllökés; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajnedvesség 120 cm; Levélnedvesség; Levegő-páratartalom; Szélsebesség; Besugárzás; Talajnedvesség 30 cm; Napelem töltőfeszültség; Légnyomás; Szélirány; Belső akkufeszültség; Fagy; Csapadék; Levegő-hőmérséklet
2021-04-27 12:00:00; 10,30833;  13,37075;3895,00000;  15,27273;-9999,00000;  21,78000;-9999,00000;   0,00000;  34,61834;   7,45455; 515,83330;  24,04100;  21,06100;1002,90826;  72,26408;   4,21458;-9999,00000;   0,00000;  14,80833
2021-04-27 10:00:00; 9,88333;  13,41108;3895,00000;  13,08333;-9999,00000;  21,83950;-9999,00000;   0,00000;  35,63000;   5,58333; 655,83330;  24,04100;  20,91233;1003,60004;  64,10839;   4,21425;-9999,00000;   0,00000;  14,31667
2021-04-27 09:00:00; 9,80000;  13,48200;3895,00000;  11,09091;-9999,00000;  21,83950;-9999,00000;   0,00000;  36,04917;   4,90909; 600,83330;  24,04100;  20,80666;1004,06670;  77,38609;   4,21442;-9999,00000;   0,00000;  13,86667
2021-04-27 05:00:00; 9,80000;  13,40650;3895,00000;   3,91667;-9999,00000;  21,89900;-9999,00000;   0,00000;  60,16000;   1,25000; 128,33333;  24,16000;  19,38617;1004,07490;  52,92963;   4,19742;-9999,00000;   0,00000;   8,86667
2021-04-27 04:00:00; 9,86667;  13,14717;3895,00000;   2,45455;-9999,00000;  21,89900;-9999,00000;   0,00000;  73,07667;   0,54545;  65,83334;  24,16000;  17,47058;1003,98320;  50,83443;   4,19867;-9999,00000;   0,00000;   7,18333
2021-04-27 06:00:00; 9,74545;  13,51008;3895,00000;   5,81818;-9999,00000;  21,89900;-9999,00000;   0,00000;  51,75000;   2,63636; 196,81818;  24,16000;  19,55717;1004,29170;  62,92272;   4,21483;-9999,00000;   0,00000;  10,28333
2021-04-26 22:00:00; 10,40000;  12,91900;   0,00000;   0,00000;-9999,00000;  21,89900;-9999,00000;   0,00000;  68,08667;   0,00000;   0,00000;  24,16000;   0,04158;1005,54156;  51,37795;   4,20250;-9999,00000;   0,00000;   7,81667
2021-04-27 08:00:00; 9,70000;  13,57517;3895,00000;  12,08333;-9999,00000;  21,89900;-9999,00000;   0,00000;  36,61084;   5,75000; 625,41670;  24,08066;  21,04933;1004,45844;  58,22493;   4,21292;-9999,00000;   0,00000;  13,28333
2021-04-27 07:00:00; 9,70000;  13,50317;3895,00000;   9,75000;-9999,00000;  21,89900;-9999,00000;   0,00000;  47,15727;   4,91667; 320,83334;  24,16000;  20,62767;1004,34546;  62,33384;   4,21400;-9999,00000;   0,00000;  11,45454
2021-04-26 23:00:00; 10,34167;  12,89367; 324,58334;   1,90909;-9999,00000;  21,89900;-9999,00000;   0,00000;  66,38834;   0,54545;   0,00000;  24,16000;   0,00558;1005,25824;  51,15424;   4,20083;-9999,00000;   0,00000;   7,62500
