DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-04-01 00:00:00; 10,63665;  14,28316;   9,72001;  22,37834; 250,47928;   0,00000;   3,70714;-9999,00000;  26,90579;   4,20768; 163,43310;1007,34990;  72,76114;-9999,00000;  13,07111;-9999,00000;   1,70139;2130,89580;   8,14286
2021-04-03 00:00:00; 10,37790;   8,56210;  10,15972;  22,38425; 350,30893;   0,00083;   3,57348;-9999,00000;  26,44202;   4,20618; 120,19434;1002,90063;  65,20071;-9999,00000;  13,06081;-9999,00000;   0,52265;2092,56600;   8,03584
2021-04-04 00:00:00; 10,34613;   5,38445;   8,92447;  22,39019; 102,54319;   0,01165;   5,25271;-9999,00000;  26,13066;   4,20578;  67,86219;1007,52920;  79,30778;-9999,00000;  13,13414;-9999,00000;   0,57692;2122,83330;  10,25993
2021-04-05 00:00:00; 11,42180;   6,18028;   7,56241;  22,37500; 197,49884;   0,00000;   5,71942;-9999,00000;  25,86651;   4,20544; 223,24467;1002,86130;  60,97242;-9999,00000;  13,19828;-9999,00000;   0,59649;2226,61450;  11,53237
2021-04-06 00:00:00; 10,45632;   3,75583;   7,38369;  22,37500; 243,24265;   0,00416;   6,34657;-9999,00000;  25,58546;   4,20634;  63,91844; 995,88990;  80,76005;-9999,00000;  13,15522;-9999,00000;   0,87413;2136,99320;  12,27798
2021-04-02 00:00:00; 10,65099;  13,18421;  10,79120;  22,37542;  21,48173;   0,00083;   5,07527;-9999,00000;  26,71388;   4,20791; 138,07018;1001,24493;  70,65891;-9999,00000;  13,07650;-9999,00000;   0,13937;2138,99320;  10,40860
2021-03-28 00:00:00; 10,83130;  10,47280;   7,82647;  22,39513; 306,70580;   0,00000;   6,02985;-9999,00000;  27,75931;   4,20683; 162,02206;1019,62646;  47,32579;-9999,00000;-9999,00000;-9999,00000;   0,00000;2149,05080;  11,39925
2021-03-29 00:00:00; 10,78708;   8,23438;   7,24453;  22,42129; 328,97668;   0,00000;   2,58633;-9999,00000;  27,56519;   4,20843; 140,22887;1022,54970;  56,97086;-9999,00000;-9999,00000;-9999,00000;   0,00000;2130,93070;   5,56835
2021-03-30 00:00:00; 10,58678;  11,64772;   8,11304;  22,38758;  44,79146;   0,00000;   2,12545;-9999,00000;  27,32858;   4,20826; 154,68310;1020,52860;  56,41242;-9999,00000;-9999,00000;-9999,00000;   0,00000;2144,23600;   4,77061
2021-03-31 00:00:00; 10,70288;  12,34877;   9,19576;  22,37584;  39,82117;   0,00000;   2,10394;-9999,00000;  27,13501;   4,20746; 142,14789;1016,10297;  68,44696;-9999,00000;  13,08248;-9999,00000;   0,10453;2150,10060;   4,91756
2021-03-20 00:00:00; 10,60835;   1,97809;   4,76347;  22,61294;  26,75095;   0,00000;   3,09386;-9999,00000;  29,05890;   4,20220; 153,13829;1011,55510;  65,66711;-9999,00000;-9999,00000;-9999,00000;   0,94737;2030,10410;   6,60289
2021-03-21 00:00:00; 10,87082;   1,99858;   4,47936;  22,55278; 345,34103;   0,00000;   2,47653;-9999,00000;  28,89796;   4,20801; 172,88257;1007,31460;  58,53634;-9999,00000;-9999,00000;-9999,00000;   0,00000;2096,07980;   5,77978
2021-03-22 00:00:00; 9,96112;   1,49647;   4,08758;  22,51380;  34,46380;   0,00000;   6,38989;-9999,00000;  28,74274;   4,20622;  81,24113;1002,07200;  65,95734;-9999,00000;-9999,00000;-9999,00000;   0,01761;2031,60770;  13,23466
2021-03-23 00:00:00; 10,67624;   4,31944;   3,84752;  22,49402;  33,40100;   0,00000;   5,75451;-9999,00000;  28,52792;   4,20756; 135,79787;1008,59100;  59,07594;-9999,00000;-9999,00000;-9999,00000;   0,08741;2042,72910;  11,41516
2021-03-26 00:00:00; 10,63295;   7,85950;   5,83994;  22,47511;  86,61295;   0,00000;   2,08244;-9999,00000;  28,05121;   4,20745; 185,75972;1014,58760;  57,67187;-9999,00000;-9999,00000;-9999,00000;   0,00000;2105,85770;   5,39785
2021-03-24 00:00:00; 11,16747;   4,94275;   5,09183;  22,49402;  61,16517;   0,00166;   8,18773;-9999,00000;  28,36301;   4,20805; 204,07802;1010,51294;  54,32901;-9999,00000;-9999,00000;-9999,00000;   0,31469;2092,19100;  15,28159
2021-03-27 00:00:00; 10,76958;   9,87053;   6,75618;  22,42088; 177,60732;   0,00000;   4,54317;-9999,00000;  27,90657;   4,20814; 191,67845;1014,24650;  55,54151;-9999,00000;-9999,00000;-9999,00000;   0,00000;2112,63900;   9,53237
